t_stamp,phase,guilty_stage,max_stage_ratio,guilty_feature,feature_score,anomalous_sensors,anomalous_sensor_scores
2019-12-06 10:13:08,normal,P3,1.006646115123806,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}"
2019-12-06 10:13:57,normal,P1,1.002050304149288,LIT101.Pv,0.0263666144480704,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0263666144480704}"
2019-12-06 10:14:41,normal,P2,1.0550547867581601,FIT201.Pv,2.34595346831128,"[""FIT201.Pv""]","{""FIT201.Pv"": 2.34595346831128}"
2019-12-06 10:19:33,normal,P4,1.000040875915792,AIT402.Pv,7.869335739967901,"[""AIT402.Pv""]","{""AIT402.Pv"": 7.869335739967901}"
2019-12-06 10:19:59,normal,P5,1.0605987964028833,PIT502.Pv,3.0349854625368726,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.0349854625368726}"
2019-12-06 10:20:00,neutral,P5,1.0469932587178747,PIT502.Pv,3.06321906996162,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.06321906996162}"
2019-12-06 10:20:01,neutral,P5,1.061935272190643,PIT502.Pv,3.17289348112396,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.17289348112396}"
2019-12-06 10:20:02,neutral,P5,1.0770407241424773,PIT502.Pv,3.282575843967965,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.282575843967965}"
2019-12-06 10:20:03,neutral,P5,1.1115506486073474,PIT502.Pv,3.516022209755436,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.516022209755436}"
2019-12-06 10:20:04,neutral,P5,1.1407934224509324,PIT502.Pv,3.749552962011549,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.749552962011549}"
2019-12-06 10:20:05,neutral,P5,1.1689959296521115,PIT502.Pv,3.9829195401277255,"[""PIT502.Pv""]","{""PIT502.Pv"": 3.9829195401277255}"
2019-12-06 10:20:06,neutral,P5,1.2028183742354648,PIT502.Pv,4.216200861169678,"[""PIT502.Pv""]","{""PIT502.Pv"": 4.216200861169678}"
2019-12-06 10:20:07,neutral,P5,1.2375617121741396,PIT502.Pv,4.449379039812686,"[""PIT502.Pv""]","{""PIT502.Pv"": 4.449379039812686}"
2019-12-06 10:20:08,neutral,P5,1.2386582278211313,PIT502.Pv,4.4492463892976994,"[""PIT502.Pv""]","{""PIT502.Pv"": 4.4492463892976994}"
2019-12-06 10:20:09,neutral,P5,1.2373591651253095,PIT502.Pv,4.449234143547726,"[""PIT502.Pv""]","{""PIT502.Pv"": 4.449234143547726}"
2019-12-06 10:20:10,neutral,P1,1.2972962411631754,LIT101.Pv,0.0341087768310753,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0341087768310753}"
2019-12-06 10:20:11,neutral,P1,1.3803480090594162,LIT101.Pv,0.0362942193157745,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0362942193157745}"
2019-12-06 10:20:12,neutral,P1,1.4781044879860394,LIT101.Pv,0.0388666736071937,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0388666736071937}"
2019-12-06 10:20:13,neutral,P1,1.5723140856453022,LIT101.Pv,0.0413457790082172,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0413457790082172}"
2019-12-06 10:20:14,neutral,P1,1.6745698030860292,LIT101.Pv,0.0440366393805221,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0440366393805221}"
2019-12-06 10:20:15,neutral,P1,1.7851581705649224,LIT101.Pv,0.0469467671961848,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0469467671961848}"
2019-12-06 10:20:16,neutral,P1,1.9040011841198217,LIT101.Pv,0.0500741485798939,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0500741485798939}"
2019-12-06 10:20:17,neutral,P1,2.014460107971334,LIT101.Pv,0.0529808206653579,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0529808206653579}"
2019-12-06 10:20:18,neutral,P1,2.125979171950236,LIT101.Pv,0.0559154327403601,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0559154327403601}"
2019-12-06 10:20:19,neutral,P1,2.2378523051333983,LIT101.Pv,0.0588593945655922,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0588593945655922}"
2019-12-06 10:20:20,neutral,P1,2.3535278728781197,LIT101.Pv,0.0619032861943572,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0619032861943572}"
2019-12-06 10:20:21,neutral,P1,2.4867987947907073,LIT101.Pv,0.0654102687837345,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0654102687837345}"
2019-12-06 10:20:22,neutral,P1,2.6106569565642035,LIT101.Pv,0.0686695748997351,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0686695748997351}"
2019-12-06 10:20:23,neutral,P1,2.745194292684353,LIT101.Pv,0.0722098393330449,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0722098393330449}"
2019-12-06 10:20:24,neutral,P1,2.8943223777802833,LIT101.Pv,0.0761340987025918,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0761340987025918}"
2019-12-06 10:20:25,neutral,P1,3.034644853053333,LIT101.Pv,0.0798266711569032,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0798266711569032}"
2019-12-06 10:20:26,neutral,P1,3.172758019064849,LIT101.Pv,0.0834610290045747,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0834610290045747}"
2019-12-06 10:20:27,neutral,P1,3.3198835519373024,LIT101.Pv,0.0873326243877085,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0873326243877085}"
2019-12-06 10:20:28,neutral,P1,3.4643718172088867,LIT101.Pv,0.0911347696916848,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0911347696916848}"
2019-12-06 10:20:29,neutral,P1,3.628362833220907,LIT101.Pv,0.0954501197133901,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0954501197133901}"
2019-12-06 10:20:30,neutral,P1,3.7853118821024703,LIT101.Pv,0.0995801697238151,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0995801697238151}"
2019-12-06 10:20:31,neutral,P1,3.9689748662534092,LIT101.Pv,0.1044131740010385,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1044131740010385}"
2019-12-06 10:20:32,neutral,P1,4.147764188040163,LIT101.Pv,0.1091179282361186,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1091179282361186}"
2019-12-06 10:20:33,neutral,P1,4.334077888930618,LIT101.Pv,0.1140207343690475,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1140207343690475}"
2019-12-06 10:20:34,neutral,P1,4.52913240021617,LIT101.Pv,0.1191535221054286,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1191535221054286}"
2019-12-06 10:20:35,neutral,P1,4.718147191742429,LIT101.Pv,0.124127357100038,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.124127357100038}"
2019-12-06 10:20:36,neutral,P1,4.912409739912289,LIT101.Pv,0.1292392744390247,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1292392744390247}"
2019-12-06 10:20:37,neutral,P1,5.113072492042325,LIT101.Pv,0.1345196274441233,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1345196274441233}"
2019-12-06 10:20:38,neutral,P1,5.305605016351496,LIT101.Pv,0.1395860290933187,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1395860290933187}"
2019-12-06 10:20:39,neutral,P1,5.511574794809683,LIT101.Pv,0.1450060283313409,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1450060283313409}"
2019-12-06 10:20:40,neutral,P1,5.722565074836825,LIT101.Pv,0.1505581174360473,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1505581174360473}"
2019-12-06 10:20:41,neutral,P1,5.939453733061755,LIT101.Pv,0.1562654534073209,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1562654534073209}"
2019-12-06 10:20:42,neutral,P1,6.143187363893986,LIT101.Pv,0.1616266067787299,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.1616266067787299}"
