LIT101.Pv,FIT101.Pv
0.021336979873023576,1.0059033491664528e-05
0.021010009852705104,9.99577813260641e-06
0.02071913085309234,9.92191180252608e-06
0.020437920113434094,9.851145394725498e-06
0.020154967023306998,9.784087070181107e-06
0.01990690902659304,9.714694709024816e-06
0.0196321257459631,9.661108232553866e-06
0.01931058546928011,9.607632135051152e-06
0.019003789401028325,9.560448515814427e-06
0.018621396376057482,9.51001070896689e-06
0.01821390027670402,9.4677723440575e-06
0.017848996521084938,9.430574744894357e-06
0.01749778616329279,9.395788127618959e-06
0.01708828744461422,9.383191348187603e-06
0.016656011374698385,9.347614779612e-06
0.016206268453038235,9.333103572919249e-06
0.01577076785983815,9.31802751783159e-06
0.015339109345694081,9.30293730409514e-06
0.014925534740923558,9.285441042111478e-06
0.014556193074594109,9.26317847575094e-06
0.01421495126027475,9.234874404597433e-06
0.01385364719198346,9.206394985865804e-06
0.013512854883499141,9.178643292566633e-06
0.013178877302296265,9.14514111783569e-06
0.012848676667291994,9.125353228671186e-06
0.012468456687905248,9.110725107084235e-06
0.012193723517614984,9.073306779234605e-06
0.011946598890854955,9.052279691944507e-06
0.011725372107479742,9.011962430168866e-06
0.011570884199625233,8.95070737247534e-06
0.011520141515233236,8.868697223273167e-06
0.01144296724078775,8.82093755564528e-06
0.01141628940415505,8.750221743878312e-06
0.01139351166737072,8.688470083516308e-06
0.0113053842877668,8.640598396480552e-06
0.011206518547348592,8.570171822992282e-06
0.011106021033867174,8.511445694088515e-06
0.010951174097556533,8.454698835722493e-06
0.010760581743405594,8.406262745970736e-06
0.010549147968480572,8.365601611534194e-06
0.010292203099787789,8.3121300545654e-06
0.010024398178996504,8.26481273524804e-06
0.009743912811889749,8.246335018633385e-06
0.00947429815747306,8.200084025871552e-06
0.009267432927929439,8.1644613381097e-06
0.009097587422776094,8.137799018460383e-06
0.008902512323795943,8.112198426698617e-06
0.008705694571483737,8.110810095087601e-06
0.008473671020209692,8.10576239824376e-06
0.008195224525194897,8.108617013121572e-06
0.008006068293139743,8.101053430354758e-06
0.007913042062738775,8.093891000873765e-06
0.007922857725609257,8.029813175157209e-06
0.007919170585817314,7.985181666463521e-06
0.007958136248653951,7.915038522726217e-06
0.008054602909580695,7.880886928300403e-06
0.008184739282216568,7.832714585389681e-06
0.008329186981317313,7.793427047876148e-06
0.008486482716514244,7.761169177491802e-06
0.008610785633620988,7.71300191122574e-06
0.008728373110262368,7.662558559233766e-06
0.008867065595829211,7.5994046800445985e-06
0.008994565875234171,7.569339247901856e-06
0.00918681506541205,7.515759333469781e-06
0.009376960260814375,7.418463306400428e-06
0.009555801131353674,7.337402169889142e-06
0.009716834784572465,7.261785221734466e-06
0.009877453628386622,7.172445427226781e-06
0.010023845036677269,7.095034808109653e-06
0.010134685844773204,7.00197558161364e-06
0.010228538747928681,6.939867554856214e-06
0.010253507202586632,6.893612583896517e-06
0.010243511776902924,6.810863441016057e-06
0.010170689086255564,6.744235962196967e-06
0.010073615952588736,6.669435761496682e-06
0.009952042348403658,6.6130097010415796e-06
0.009789854955309362,6.519377366432979e-06
0.009584496137773747,6.438636927344708e-06
0.009357646211281954,6.366145181810797e-06
0.009172335878765415,6.2508558790389435e-06
0.00899653596258443,6.148486810488481e-06
0.008795015720220293,6.062174671499684e-06
0.008606373725963413,5.952620508908879e-06
0.0083924351343495,5.855897648216618e-06
0.008131968670456218,5.7397425316199626e-06
0.007830598403373598,5.631960387089685e-06
0.007531980139402285,5.544178421686141e-06
0.00725704208174771,5.449807666710095e-06
0.007020723862865866,5.34630864065036e-06
0.006932531325147911,5.227845837656638e-06
0.00684074827383586,5.131942562098628e-06
0.0067974993923970075,5.015981933825797e-06
0.006822669200057294,4.912236185572692e-06
