AIT301.Pv,AIT302.Pv,AIT303.Pv,LIT301.Pv,FIT301.Pv,DPIT301.Pv
0.4939828566417878,0.20382210054872305,0.16275419319045986,0.030745387548604803,0.9694034853841276,0.8362896035413377
0.4690067967032455,0.2018670232473237,0.16562324013396393,0.030638383496686912,0.921868888197371,0.8412212990749224
0.44303629857315685,0.19997105266419385,0.17203248824230688,0.030477159474122408,0.8521159023845672,0.8456633855423378
0.4151262185862421,0.197936624482272,0.178428961966571,0.030112864869533428,0.7962421602903746,0.8492045418427767
0.39361905265414615,0.19579478816385937,0.18481454485648188,0.030085385803692445,0.7600210140005349,0.8509652843796397
0.37535107007160257,0.19459294791576498,0.1911929845539638,0.03006218826821944,0.759486168351462,0.84897662950211
0.35837181429532,0.19385280355793308,0.19756192100248307,0.030042286327663082,0.7808928114522165,0.8350639048078012
0.34566048066628496,0.1944266035579352,0.20393492070003513,0.030023839804449965,0.8023872537192234,0.81576101118926
0.33421002398880795,0.1951138608947378,0.20491678852597933,0.029985234433449238,0.8024510277838792,0.8042507437299454
0.3240406004025847,0.19335892364777166,0.20351503181391112,0.029928037585718534,0.7912140646744041,0.7911806493151083
0.3156647141100212,0.18762833876706966,0.20212302569030263,0.029736422209664763,0.765053182231312,0.7751715497414152
0.3072298982166156,0.1908682388169595,0.2007271912782924,0.029384039814362082,0.726469302783398,0.7531833601113633
0.2986979714329532,0.19300966762462476,0.1993367063467199,0.029310843941939734,0.6932886609781629,0.721318352214522
0.2902563281918813,0.19365470597298343,0.1979369017618193,0.029244410544315348,0.6585765188044506,0.6916875572781989
0.2816369039654474,0.19754425721981103,0.1965670872846657,0.029165427261716306,0.6357175574019308,0.6436800750147843
0.27237779384528044,0.20019380209500046,0.19520355890930563,0.029085704631558202,0.6158048479320842,0.5913947720104181
0.2601803652512119,0.19970941157897207,0.19384977704411757,0.0289375105301353,0.6032221750804212,0.5190806781130184
0.24510452051756865,0.19426229527195102,0.19250844123946229,0.02871189466333408,0.5905811034640053,0.47502148715057274
0.23366830415031006,0.19463855437340116,0.19121547537816788,0.028185744073624473,0.5773410702615526,0.4352463347487097
0.21952459967773266,0.19290914890924127,0.19000918771062478,0.02722159508158122,0.5697743465659787,0.4035416086607736
