FIT201.Pv,AIT201.Pv,AIT202.Pv,AIT203.Pv
0.6636436904687816,0.09916886688198022,0.03289595700059023,0.033924352136137405
0.6332631547249691,0.09816334202512068,0.032825984625542017,0.03282483699708745
0.5921844273554713,0.09666292557044151,0.0332124862830918,0.03112132894852881
0.5509123660065189,0.09481354222467854,0.03311047046570638,0.030393060322330957
0.5077953146605308,0.09267093171607207,0.03260351727269127,0.029704908088163767
0.468022280519895,0.08918090085005055,0.031983242704123976,0.02917666549302994
0.4388574430890192,0.08652827292078712,0.031088648712945918,0.02868830807104136
0.43487680002386925,0.0854675051154751,0.029155899423912415,0.027905002563481204
0.43737498346718456,0.084182634416121,0.02813310871710342,0.026086734690456304
0.4471113101555984,0.08264112423165508,0.026838490318931048,0.025951440651498205
0.4572758980688626,0.08009257454898804,0.025493738885761272,0.025820700776045518
0.4641751541272868,0.08036802161362502,0.02383980187903544,0.02569608972253797
0.469081069454015,0.08041349010351419,0.02262929499877963,0.025491108809475607
0.46460410546455017,0.08027270372498631,0.0217130170544238,0.025186917607776537
0.4568020133607184,0.07993148374007601,0.021969594547566796,0.024410352128140092
0.44744019277279595,0.07951158172624474,0.022042627404015865,0.024301374123119623
0.4412345456761351,0.07941271024115454,0.02210293137841043,0.02400379081712891
0.43492883991754466,0.08128341437265187,0.022608986257501566,0.02289576323680131
0.4238886072852089,0.08077871923058386,0.023256635501342746,0.022846781129119066
0.4011745055945466,0.07882093972247775,0.02464295169594962,0.022706951560312796
0.37212412291983127,0.07668093494220106,0.026213112483758082,0.02276456849437431
0.33549642615968034,0.0743644956397723,0.02881609725609605,0.022925099325138067
0.3000780653863095,0.07152824137164351,0.0314350580647382,0.02294386865975005
0.25311517240324716,0.06874187145358532,0.033591533268120984,0.022688177590054155
0.20972645239147925,0.06611189940503236,0.035570653382994116,0.022338115483433715
0.19101321137766442,0.06342180975156862,0.03845453255976749,0.022170927485065196
0.20068902559907487,0.06055821705224152,0.04112768056751032,0.022071851611225737
0.2319157140288077,0.05702170888192467,0.044516479468727436,0.021911977486715993
0.27826508910190706,0.0510619503257797,0.04964583658917153,0.021565750271928436
0.32402103000704846,0.04851535481193736,0.05756417990813876,0.022275710944702296
0.3517491484333925,0.04622317590249296,0.06577811467169734,0.022818646553061383
0.3717107755839384,0.04417463273029173,0.07162916657118185,0.02302839963996563
0.38123817003465216,0.04225073424514826,0.07588195329295064,0.022084621332636507
0.38587243867952314,0.0401205080421684,0.07883505578402947,0.022233930052421882
0.38729457758338925,0.03659159696319213,0.07964506279678459,0.022076783602124648
0.38920734996330186,0.035824578986954056,0.07953936228709528,0.021550749642332678
0.39247396166118165,0.035298356890557915,0.08018895117647447,0.020042812817215212
0.39642318871683746,0.03496545742384878,0.07877512712500753,0.01994668790198282
0.3972566037816477,0.03426862861605102,0.07778096663683505,0.019945509100872692
0.39943200529967304,0.031808654253236736,0.07844016883410092,0.01998403459069986
0.4064860483232415,0.03231862109738339,0.07957369179529113,0.019425156251563207
0.41863960970400405,0.03290095401242074,0.08185773540768329,0.018600567681949766
0.4395397142539318,0.033053537769145255,0.08552071012031372,0.019195995017554465
0.4646873490422965,0.030804130170466758,0.09129508679524069,0.020042171612464788
0.496534798491947,0.031247390765475978,0.09688444138851282,0.020871474898686137
0.5126047644494675,0.03267647079671904,0.0982369474842403,0.021033671242019047
0.517038644682883,0.033203994479881614,0.09512356619046788,0.019804296379873958
0.5198040769991426,0.030039563568649463,0.08961478530666549,0.01932158698312614
0.5231505360957222,0.030220649258047693,0.08646962894561691,0.01924517755870938
0.5265515202828205,0.029236581065230353,0.08293443729733735,0.019174874546018406
0.5273629532447894,0.027925872634697663,0.08030127014170636,0.019198595521434412
0.5254608983277932,0.028808116775187752,0.07709439807082634,0.018920941570894648
0.52071441704445,0.02963078432793897,0.07372475798338668,0.01750287672898137
0.5124898844983184,0.029731772812182793,0.06774294271549777,0.017148215211614765
0.5043165202056169,0.027262067305466858,0.06135618860125029,0.016839953711446844
0.5017130095272935,0.027321908773214675,0.05491166612914078,0.016598642494453603
0.49848526137512467,0.02751215970076943,0.05058244172363518,0.01657951734938543
0.49628638363916294,0.02777413930479453,0.046189078244510476,0.0165164509647346
0.49571851623299,0.02811257600034372,0.041825163932335756,0.01605176762560747
0.49808040951414845,0.028492774414859465,0.038002139589345105,0.016017150372032062
0.5050708054717868,0.028953264081819176,0.03481674452085407,0.015496420623203189
0.515452340449908,0.02964139292399182,0.03226442431023467,0.014961789359792666
0.5226328389807374,0.030525980482702764,0.030906038163384494,0.014996978642692291
0.5266808743330934,0.031730590798737,0.030114177920404328,0.014913291255721333
0.525940723321495,0.03309295899199402,0.029009511015672985,0.014223271023293014
0.5261139962263931,0.03454565782003841,0.026770888749565448,0.014266505968099955
0.5208108771982212,0.036028749689909496,0.026136491588019884,0.01431219046550196
0.5207921298311639,0.03783473475333708,0.02613494547134611,0.014313456835625689
0.5271021985520855,0.0389069215753936,0.025767325915770724,0.013493458773911199
0.5387550918938276,0.03788216424660457,0.026196788690290008,0.013642109316160538
0.549209725963848,0.040007527331229926,0.0262615346156894,0.014125689388301542
0.559319225669198,0.04442766414021413,0.0273088286678588,0.014881854687949172
0.5736268041678128,0.05067178198718479,0.02939084971929061,0.015491326222096863
0.5977806752402791,0.05840180103789757,0.030422518743266427,0.01688852701973661
0.6207929312653631,0.06747466949212576,0.031015179115627938,0.019325582092836958
0.6273070884934782,0.07557669802804735,0.03092021293178335,0.021674435378280555
0.6247978790237478,0.08081247548078486,0.03136017157657013,0.02343466003130235
0.6175754481792607,0.08317665349218185,0.0303637755001888,0.0243571452245928
0.614059869117899,0.081841442106351,0.029514247369796357,0.023848121271940654
0.6237060281428152,0.07752676460863231,0.02967651489595072,0.02135589687612852
0.6573643465255873,0.0724191962104255,0.02884471506008834,0.01946479542026561
0.7086624583827192,0.06927637631895969,0.02904476299710717,0.017871172351297263
0.774775976590175,0.06494976217222688,0.029480084217760598,0.016644765931951588
0.8435083717640575,0.06040781604325874,0.030461332360472056,0.015480888888869053
0.8857712410554365,0.05619054795682243,0.03175014751373089,0.0137987837339729
